,genre,simplified genre
326,Musical / Comédie dramatique,musical
327,http://fr.dbpedia.org/resource/Film_de_pirates,pirate
328,drame de guerre,drame de guerre
329,http://fr.dbpedia.org/resource/Musique_country,country
330,docu-fiction,docu-fiction
331,http://fr.dbpedia.org/resource/Policier_(genre_cinématographique),policier (genre cinématographique)
332,http://fr.dbpedia.org/resource/Cinéma_de_fantasy,fantasie
333,"Aventures, conte",aventure
334,"Aventures, conte",conte
335,http://fr.dbpedia.org/resource/Film_tibétain,tibétain
336,http://fr.dbpedia.org/resource/Film_d'exploitation,film d'exploitation
337,Western,western
338,http://fr.dbpedia.org/resource/Film_de_zombie,zombie
339,http://fr.dbpedia.org/resource/Film_d'épouvante,épouvante
340,Bande originale,musique de film
341,http://fr.dbpedia.org/resource/Post-apocalyptique,post-apocalyptique
342,romance,romance
343,comédie musicale,comédie
344,comédie musicale,musical
345,http://fr.dbpedia.org/resource/Comédie_horrifique,comédie horrifique
346,"Aventure, comédie",aventure
347,"Aventure, comédie",comédie
348,Comédie musicale,comédie
349,Comédie musicale,musical
350,http://fr.dbpedia.org/resource/Comédie(cinéma),comédie
351,"action, policier, espionnage",action
352,"action, policier, espionnage",policier
353,"action, policier, espionnage",espionnage
354,http://fr.dbpedia.org/resource/Heroic_fantasy,heroic fantaisie
355,Dramatique,dramatique
356,Comédie d'action,comédie d'action
357,Court métrage documentaire,court métrage
358,Court métrage documentaire,documentaire
359,"Documenteur, film musical",documenteur
360,"Documenteur, film musical",musical
361,"Drame, biographie",biographie
362,"Drame, biographie",drame
363,http://fr.dbpedia.org/resource/Screwball_comedy,screwball comedy
364,"Comédie, romance",comédie
365,"Comédie, romance",romance
366,Epouvante-Horreur et Action,épouvante
367,Epouvante-Horreur et Action,horreur
368,Epouvante-Horreur et Action,action
369,http://fr.dbpedia.org/resource/Énigme,énigme
370,http://fr.dbpedia.org/resource/Catégorie:Film_d'action,action
371,http://fr.dbpedia.org/resource/Catégorie:Film_d'aventure,aventure
372,http://fr.dbpedia.org/resource/Catégorie:Film_de_fantasy,fantasie
373,http://fr.dbpedia.org/resource/Bande_son,bande son
374,http://fr.dbpedia.org/resource/Catégorie:Film_fantastique,fantastique
375,http://fr.dbpedia.org/resource/Electronica,electroniquea
376,http://fr.dbpedia.org/resource/Baile_funk,baile funk
377,Comédie burlesque,comédie burlesque
378,http://fr.dbpedia.org/resource/Film_à_sketches,film à sketches
379,Histoire,histoire
380,http://fr.dbpedia.org/resource/Humour_noir,humour noir
381,"Romance, Drame",drame
382,"Romance, Drame",romance
383,"Biographie, Drame",biographie
384,"Biographie, Drame",drame
385,http://fr.dbpedia.org/resource/Nonnesploitation,nonnesploitation
386,http://fr.dbpedia.org/resource/Catégorie:Court_métrage,court métrage
387,http://fr.dbpedia.org/resource/Super-héros,super-héros
388,"fantasy, aventure",aventure
389,"fantasy, aventure",fantaisie
390,http://fr.dbpedia.org/resource/Catégorie:Film_d'horreur,horreur
391,Film d'horreur,horreur
392,"Comédie, Crime, Drame, Histoire",comédie
393,"Comédie, Crime, Drame, Histoire",crime
394,"Comédie, Crime, Drame, Histoire",drame
395,"Comédie, Crime, Drame, Histoire",histoire
396,aventure,aventure
397,http://fr.dbpedia.org/resource/Série_télévisée,série télévisée
398,http://fr.dbpedia.org/resource/Musical,musical
399,http://fr.dbpedia.org/resource/Anime,anime
400,Comédie sociale,comédie sociale
401,http://fr.dbpedia.org/resource/Psychologie,psychologie
402,Film de guerre,guerre
403,"documentaire, autobiographie",documentaire
404,"documentaire, autobiographie",autobiographie
405,http://fr.dbpedia.org/resource/Espionnage,espionnage
406,drame social et politique,drame social
407,drame social et politique,politique
408,http://fr.dbpedia.org/resource/Érotique,érotique
409,"Drame, science-fiction",drame
410,"Drame, science-fiction",science-fiction
411,Drame familial,drame familial
412,http://fr.dbpedia.org/resource/Familial,familial
413,muet,muet
414,Trame sonore,trame sonore
415,"Science-fiction, punk",science-fiction
416,"Science-fiction, punk",punk
417,http://fr.dbpedia.org/resource/Docufiction,docu-fiction
418,http://fr.dbpedia.org/resource/Science-Fiction,science-fiction
419,Comédie sentimentale,comédie sentimentale
420,http://fr.dbpedia.org/resource/Film_expérimental,expérimental
421,biographie,biographie
422,http://fr.dbpedia.org/resource/Autobiographique,autobiographie
423,http://fr.dbpedia.org/resource/Film_érotique,érotique
424,http://fr.dbpedia.org/resource/Poésie,poésie
425,http://fr.dbpedia.org/resource/Essai_cinématographique,essai cinématographique
426,http://fr.dbpedia.org/resource/Complot_maçonnique,complot maçonnique
427,Film de guerre dramatique,guerre
428,Film de guerre dramatique,dramatique
429,http://fr.dbpedia.org/resource/Tokusatsu,tokusatsu
430,"Drame, Histoire",drame
431,"Drame, Histoire",historique
432,"Western futuriste, drame dystopique policier",western futuriste
433,"Western futuriste, drame dystopique policier",drame dystopique policier
434,western,western
435,http://fr.dbpedia.org/resource/Tragédie,tragédie
436,http://fr.dbpedia.org/resource/Cinéma_d'animation,animation
437,http://fr.dbpedia.org/resource/Cinéma_muet,muet
438,Film de propagande,propagande
439,http://fr.dbpedia.org/resource/Comedie_romantique,comédie romantique
440,http://fr.dbpedia.org/resource/Sport_(film),sport
441,http://fr.dbpedia.org/resource/Fantastique_(Cinéma),fantastique
442,"Film d'action, d'arts martiaux",action
443,"Film d'action, d'arts martiaux",art martiaux
