,genre,simplified genre,simplified genre from URL
2175,Romantique,romantique,False
2176,"pop, rock, adult contemporary music",pop,False
2177,"pop, rock, adult contemporary music",rock,False
2178,"pop, rock, adult contemporary music",adult contemporary music,False
2179,http://fr.dbpedia.org/resource/Musique_instrumentale,musique instrumentale,True
2180,http://fr.dbpedia.org/resource/Musiques_improvisées,musiques improvisees,True
2181,http://fr.dbpedia.org/resource/Breakcore,breakcore,True
2182,http://fr.dbpedia.org/resource/Abstract_hip-hop,abstract hip-hop,True
2183,http://fr.dbpedia.org/resource/Comedy_rock,comedy rock,True
2184,http://fr.dbpedia.org/resource/Italo_disco,italo disco,True
2185,http://fr.dbpedia.org/resource/Musique_folklorique,musique folklorique,True
2186,http://fr.dbpedia.org/resource/Musique_traditionnelle,musique traditionnelle,True
2187,"pop rock, pop punk, rock alternatif.",pop rock,False
2188,"pop rock, pop punk, rock alternatif.",pop punk,False
2189,"pop rock, pop punk, rock alternatif.",rock alternatif.,False
2190,http://fr.dbpedia.org/resource/Scat,scat,True
2191,http://fr.dbpedia.org/resource/Rock_&_roll,rock & roll,True
2192,http://fr.dbpedia.org/resource/Soul_music,soul music,True
2193,"Black Metal Symphonic, Black Metal Mélodique, Thrash metal, blackened death metal",black metal symphonic,False
2194,"Black Metal Symphonic, Black Metal Mélodique, Thrash metal, blackened death metal",black metal melodique,False
2195,"Black Metal Symphonic, Black Metal Mélodique, Thrash metal, blackened death metal",thrash metal,False
2196,"Black Metal Symphonic, Black Metal Mélodique, Thrash metal, blackened death metal",blackened death metal,False
2197,http://fr.dbpedia.org/resource/Stoner_metal,stoner metal,True
2198,http://fr.dbpedia.org/resource/Néo-prog,neo-prog,True
2199,http://fr.dbpedia.org/resource/Power_noise,power noise,True
2200,Musique électronique,musique electronique,False
2201,http://fr.dbpedia.org/resource/Maloya,maloya,True
2202,http://fr.dbpedia.org/resource/Séga,sega,True
2203,"Folk, jazz et soul",folk,False
2204,"Folk, jazz et soul",jazz,False
2205,"Folk, jazz et soul",soul,False
2206,"reggae, rocksteady, skinhead reggae",reggae,False
2207,"reggae, rocksteady, skinhead reggae",rocksteady,False
2208,"reggae, rocksteady, skinhead reggae",skinhead reggae,False
2209,"Indie rock, Pop rockOdd Pop/Robot Pop",indie rock,False
2210,"Indie rock, Pop rockOdd Pop/Robot Pop",pop rockodd pop,False
2211,"Indie rock, Pop rockOdd Pop/Robot Pop",robot pop,False
2212,http://fr.dbpedia.org/resource/Dance_punk,dance punk,True
2213,http://fr.dbpedia.org/resource/Electro_new_wave,electro new wave,True
2214,http://fr.dbpedia.org/resource/Roots_rock,roots rock,True
2215,http://fr.dbpedia.org/resource/Skiffle,skiffle,True
2216,http://fr.dbpedia.org/resource/Alt-country,alt-country,True
2217,"R&B, soul, disco, quiet storm, Motowngospel",r&b,False
2218,"R&B, soul, disco, quiet storm, Motowngospel",soul,False
2219,"R&B, soul, disco, quiet storm, Motowngospel",disco,False
2220,"R&B, soul, disco, quiet storm, Motowngospel",quiet storm,False
2221,"R&B, soul, disco, quiet storm, Motowngospel",motowngospel,False
2222,http://fr.dbpedia.org/resource/Multiples_influences,multiples influences,True
2223,http://fr.dbpedia.org/resource/Hip-hop_chrétien,hip-hop chretien,True
2224,http://fr.dbpedia.org/resource/Christianisme,christianisme,True
2225,http://fr.dbpedia.org/resource/Instrumental,instrumental,True
2226,http://fr.dbpedia.org/resource/Jam_rock,jam rock,True
2227,Classique,classique,False
2228,http://fr.dbpedia.org/resource/Metal_néo-classique,metal neo-classique,True
2229,http://fr.dbpedia.org/resource/Power_Metal,power metal,True
